Ticker.Symbol,Period.Ending,current_ratio,quick_ratio,cash_ratio,debt_equity,debt_ratio,net_margin,gross_margin,operating_margin,roa,roe,interest_coverage,asset_turnover,inventory_turnover
LUV,2016-12-31,-0.9588773456843789,-0.735909497697603,-0.4833566209759252,-0.10673804247092925,0.3277170376939009,0.10189298359868816,1.0189633806341292,0.2041596396819791,0.36524750631712116,0.34651273548486256,0.0020943216719246744,0.01547444888430507,0.2626941914269082
LVLT,2013-12-31,-0.6922330147600114,-0.4082539209275073,-0.1356063277526522,4.009502436588358,1.8212983257520647,-0.6194147614072888,-0.22195665394886313,-0.15852190948519335,-1.066180883227596,-1.123919873690798,-0.14163862000150118,-0.5410771278669863,-9999.0
LVLT,2014-12-31,-0.8671656689551063,-0.5965887949917834,-0.3723156514956966,0.23814252116108073,0.6745524443810691,-0.25857090544793443,-0.10515084381339389,0.044433546595156706,-0.7458936738487818,-0.5813484735983832,-0.14010861204193248,-0.7811526510157827,-9999.0
LVLT,2015-12-31,-0.5164395848672001,-0.2189923240431096,0.16203375267183578,-0.3487339143054723,-0.008278327516544247,1.8455285296916655,0.06443161399113072,0.10105155277087871,0.9908288297953795,0.6601590296128552,-0.1385740862545985,-0.7562797667022334,-9999.0
LYB,2012-12-31,0.3836225064287856,-0.07075422107797955,0.034711185702458076,-0.48460669946707324,-0.24762691287559094,-0.1651559933313808,-1.4884731014907857,-0.16956038564537826,0.6550168760814948,0.30293904706844627,-0.12374709328710173,1.4477849493685453,-0.19109545349800852
LYB,2013-12-31,0.5663047448232303,0.1570802499982257,0.5185488505173369,-0.47597507223680463,-0.231054165810615,-0.024799045797161866,-1.43594570912598,-0.11101385817694133,0.9786731772273328,0.5319103173827082,-0.09631478900146619,1.0759654405937407,-0.2179460827013131
LYB,2014-12-31,0.1776157064292619,-0.1564804413935877,-0.5819115373051643,-0.006763206431308687,0.44132879226112354,-0.00219898536040165,-1.4040631678205562,-0.06497683824924536,1.402466790099925,1.3588123421284313,-0.0969466312026034,1.4628827659422783,-0.1553570526596744
LYB,2015-12-31,0.2611011687089639,-0.14958482887369745,-0.5391366907718788,0.35606201596123804,0.7687126936684996,0.2543403346981512,-1.1011491768195896,0.21767549166119485,1.7350435014928731,2.135884916255657,-0.08684015460464725,0.8232052290509473,-0.254927770000086
M,2013-02-02,-0.27395745423047213,-0.8199491597884956,-0.276740726495305,0.3526102800629696,0.7660970806951977,-0.24786952371458953,-0.2815981866861984,-0.20182242276263818,-0.08217945204063715,0.15270711296374656,-0.12631621634039106,0.6512295273588597,-0.39569600345770456
M,2014-02-01,-0.3004689162703439,-0.7863275058830835,-0.21422840568261017,0.3466222851627086,0.7615404284023308,-0.2195961299215237,-0.2879688569506865,-0.20290425540748025,-0.012078734069842677,0.22630839360337243,-0.1245439915992446,0.6123187031625457,-0.40032201437725445
M,2015-01-31,-0.16776408249388944,-0.7233214742578338,-0.13321791212917233,0.6740960249908802,0.9795004618113217,-0.21338990817803205,-0.2932344819198299,-0.18561147920782725,0.02628673189526218,0.4232425042057991,-0.12389438701984655,0.6493322896604211,-0.39581374353859444
M,2016-01-30,-0.43933231467621947,-0.9282122797986626,-0.5754878574056285,1.2400907580316407,1.2487071961538854,-0.2968419364165348,-0.3334196356255984,-0.2978804314422707,-0.23919221659766812,0.2881832962152953,-0.128201439096335,0.6470588007104576,-0.4009207197919389
MA,2013-12-31,-0.07231971477200008,0.2591531667955447,0.6217696486628966,-0.6600785256383688,-0.634936161019834,1.6055105746552376,2.3330900004578883,1.8546711223429024,2.0368410487249378,0.9915642413242215,0.7967824911394858,-0.4068812094828128,-9999.0
MA,2014-12-31,-0.10897330906488431,0.21969140880121027,0.9727268616936127,-0.4307769208330467,-0.1474733928389191,1.652242203156784,2.3330900004578883,1.850451689021773,2.271264639408029,1.490173282960812,0.16670949429656287,-0.36045174677747427,-9999.0
MA,2015-12-31,-0.1207046720618358,0.20706126388744767,1.1161022061781782,-0.14742919320614917,0.2777441476983038,1.7135255238559128,2.3330900004578883,1.778736802815009,2.249151151971551,1.9145665247631838,0.09901234474626067,-0.39066907490555347,-9999.0
MA,2016-12-31,-0.05672272263016462,0.27594510060761657,1.1157048948414934,0.24448161597740203,0.6798788193552252,1.6156704323269686,2.3330900004578883,1.8217543871281665,2.0171775278185367,2.28282812360273,0.03285271500962251,-0.41637528250246036,-9999.0
MAS,2014-12-31,-0.2086219615294994,-0.15299840189335495,0.1885798034312049,3.1538628257527836,1.7115046834935619,0.17176842319120464,-0.7570710257672983,-0.17045017759913894,0.6709673700254953,3.177536490664516,-0.13526304348783666,0.15194596130056684,-0.228439079768893
MAT,2012-12-31,0.12472506594938215,0.2479336796990695,0.46337603224311136,-0.5145503321237551,-0.306730366616364,0.1646590564595939,0.279981446666683,0.08845201895629835,0.6738188335953673,0.2921619527906593,-0.11100192664588146,0.16892355464085554,-0.24898879597800522
MAT,2013-12-31,1.0068296632715732,0.973386405406942,0.8431410207490534,-0.6099748035656465,-0.5135191914001115,0.2694206113950351,0.3040777899878291,0.18587915120770032,0.9661074721558904,0.3986191987664569,-0.10109147767558285,0.20238752166372276,-0.3010097408064479
MAT,2014-12-31,0.7785356492038948,0.7500035169245683,0.6658173700294646,-0.4166981259141533,-0.12248577471129632,-0.051572474938277386,0.136574864362907,-0.1445625802400289,0.06278292787938552,-0.06784607461577088,-0.120505111718885,0.04281609148488628,-0.2967939217759136
MAT,2015-12-31,0.025199258285445402,0.06988617491988984,0.044424382435884244,-0.28149249432637397,0.09522072988098111,-0.15390808697826108,0.10998472874330198,-0.20762985814965385,-0.180796753079739,-0.19159513542608675,-0.12607485800171794,0.005594684604540168,-0.3165003738034967
MCD,2012-12-31,-0.35476917813655906,-0.07440959260481239,0.300079701831718,-0.3944173882104666,-0.08390196465756199,0.6032892071097864,-0.32665858220522626,0.795061742323093,1.1580819932120956,0.7385789812347797,-9999.0,-0.12570464311050342,5.47751454614072
MCD,2013-12-31,-0.24244045701197356,0.04383774767784881,0.6490054441797339,-0.41126570408431434,-0.11297125086920888,0.6061779217710224,-0.3461209822694522,0.7936748634723549,1.1318500898784567,0.7024981960355818,-9999.0,-0.14248603569862867,5.539993430500001
MCD,2014-12-31,-0.29597252437953425,-0.014626775853706437,0.42393083811701127,-0.16867005813090497,0.2507200129934047,0.4622630425335423,-0.376311347624198,0.6914421528006977,0.9474484029130024,0.7935781243847672,-9999.0,-0.09302690814655487,6.2099115559313764
MCD,2015-12-31,1.0400316208030267,1.4287633784384213,3.708248181966599,1.570658321621362,1.3652106929551555,0.4897617567761553,-0.3579977923891454,0.6521928074165292,0.6795389179321741,1.9458525801295106,-9999.0,-0.2828155400003295,6.2827079301463975
MCHP,2013-03-31,3.5495604436759276,3.5738588881154882,1.8281339371470362,-0.6025434349879331,-0.4963150243004186,-0.06447272109952057,0.27635270421034724,-0.12439262682367547,-0.4989453338050671,-0.5104684288121708,-0.13186911496725726,-0.6557736799150716,-0.3978344976386463
MCHP,2014-03-31,3.0239408314647678,2.9483404213519306,1.547046673704969,-0.6589088603811526,-0.6319890927342251,0.6398434130551214,0.5142394063579184,0.4511207671436287,0.37631171910839234,0.0004703942517647695,-0.11707302147558635,-0.5635125788038094,-0.3983700817713433
MCHP,2015-03-31,4.300713104080437,4.3165431623263535,2.1310894655734907,-0.37867657915602215,-0.05732888246346655,0.4536845666762106,0.4626205288265713,0.2694491329293119,0.10335965586384692,-0.01936559358166032,-0.12456035452586367,-0.6004558360530228,-0.38838787733131197
MCHP,2016-03-31,4.743666809466339,4.782162081457121,8.812893130694222,-0.21682767302216654,0.18691021774754,0.32472888436693403,0.38374958863062014,0.10279055719011304,-0.15564297849429556,-0.14699782300274736,-0.1347277030152375,-0.6849871354241329,-0.3939977637526283
MCK,2013-03-31,-0.6314825155942903,-0.741681929483466,-0.7151462396931448,1.2910572776342486,1.2682480477397717,-0.4593274036394106,-1.7976317864716704,-0.5567289133388398,-0.4253791755571082,0.018243520717365312,-0.11601932085805168,3.8081289757468983,-0.04458582421272532
MCK,2014-03-31,-0.6132076505112445,-0.6845709533322384,-0.6679149368690841,2.0368857657158204,1.4961904655814666,-0.4692958318518424,-1.778028929392719,-0.5634421185123217,-0.6173884987133746,-0.15766946406359394,-0.12084630895442386,2.5730008258635566,-0.09788781773739419
MCK,2015-03-31,-0.6239537816535371,-0.6864896648894206,-0.6361799254719543,2.46325332675431,1.5914158449758573,-0.4746798384872487,-1.7651467396438223,-0.5688657935959722,-0.5764564672009022,-0.002214291637228566,-0.12141463338051042,3.5359561438373937,-0.01977768274676217
MCK,2016-03-31,-0.6229954696947567,-0.6940881941057652,-0.7143901931135526,2.2080751140272294,1.5368044058934185,-0.45433707128890866,-1.782334395190467,-0.5596609492076619,-0.40549389458812934,0.291570157355409,-0.11524858451854086,3.6094381885578435,-0.020772007666949286
MCO,2012-12-31,0.1977971536754962,0.5499646601429219,1.7576323695840006,4.7587820383091,1.8942382701194747,0.9124075224858874,1.0585487635423563,1.1756626351157655,1.4280417719950966,6.884182895416755,-9999.0,-0.25479960065711715,-9999.0
MDLZ,2012-12-31,-0.6551287835664283,-0.5756538300187675,-0.3848105784310298,-0.3784604422802634,-0.05696785793526049,-0.024485360876929207,-0.4094933123549427,-0.16602932294212647,-0.39573372138558927,-0.3855894522158428,-0.13892818902654533,-0.5791410435528509,-0.275685220650914
MDLZ,2013-12-31,-0.7594000561938327,-0.6954822744033133,-0.5949293090510905,-0.4421586878400273,-0.16802928571625403,0.10781803098105443,-0.41842864216084497,-0.12622080565239596,-0.21339521281204518,-0.27454505441607596,-0.1372813389924534,-0.546237507514944,-0.2729059647670378
MDLZ,2014-12-31,-0.819820591631541,-0.7503809919912651,-0.7125802973464922,-0.33469723000026713,0.01406593172237011,-0.15959617415731484,-0.43391765392587117,-0.2084678695177969,-0.5039587887517359,-0.4555397015074523,-0.13084992796214454,-0.5087156423002549,-0.2601456613540291
MDLZ,2015-12-31,-0.8341258715012371,-0.7578936036785054,-0.6152755599039272,-0.4399293468443219,-0.16397761245292672,0.8697924747464343,-0.343806618441073,0.7400312631419956,0.6283720622846577,0.318994809838847,-0.11893554374917932,-0.5681015315101432,-0.22843499024964298
MHK,2012-12-31,0.8938030297639056,0.171676089209386,0.10463338719236646,-0.7947655904477609,-1.0163602209601719,-0.27613475485763944,-0.91724885464925,-0.34278165939085187,-0.4084952750331702,-0.5044924261553296,-0.12977476549932473,0.0745497084573027,-0.3662144825175846
MHK,2013-12-31,0.3264523522275851,-0.2926437920408054,-0.8467224173921251,-0.6593803339577302,-0.6331763357821485,-0.25216676172503255,-0.9000079375280897,-0.3019100628012629,-0.38990495859697133,-0.45776013597275056,-0.12728833044378254,-0.0017710027716605914,-0.38100450507627415
MHK,2014-12-31,-0.2899529208120451,-0.6285404012832305,-0.8301227497064828,-0.6779196802558006,-0.6805930837219091,-0.13467192520756677,-0.8357608908385671,-0.18835146368548578,-0.07391441727456252,-0.27679817348394237,-0.12161008402465784,0.10854487730273348,-0.3719105074716882
